sacc	naccs	length	slen	cov	av-pident	stitle	qseqids
RVW44548.1	1	110	1275	0.086	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
RVW86714.1	3	142	565	0.251	77.124	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000267_2,PB64-S175_21-22_K9-21_000218_1,PB64-S175_21-22_K9-21_000131_1
ATJ05009.1	1	203	360	0.564	99	polyprotein,__partial__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_2
RVW74337.1	1	89	420	0.212	72.8	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000158_1
ARQ83971.1	1	106	463	0.229	77.4	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000008_1
RVW66143.1	1	110	807	0.136	57.3	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
NP_620107.1	3	313	463	0.676	90.826	putative__movement__protein__[Cherry__virus__A]__>CAA57897.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83863.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83871.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83953.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83961.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83977.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83985.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83989.1__putative__movement__protein__[Cherry__virus__A]__>ARQ83999.1__putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000008_1
PNX82398.1	1	69	579	0.119	58	retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94,__partial__[Trifolium__pratense]	PB64-S175_21-22_K9-21_000185_1
RVX13529.1	1	132	565	0.234	38.5	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000060_2
ARQ83922.1	1	138	2342	0.059	92	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000026_1
ARQ83994.1	8	1703	2344	0.727	98.072	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1,PB64-S175_21-22_K9-21_000026_1,PB64-S175_21-22_K9-21_000004_1,PB64-S175_21-22_K9-21_000279_1,PB64-S175_21-22_K9-21_000031_1,PB64-S175_21-22_K9-21_000066_3,PB64-S175_21-22_K9-21_000040_1,PB64-S175_21-22_K9-21_000008_2
RVW74496.1	1	36	906	0.04	80.6	Retrovirus-related__Pol__polyprotein__from__transposon__RE1__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
RVW27175.1	1	87	612	0.142	79.3	Retrovirus-related__Pol__polyprotein__from__transposon__17.6__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000244_15
KYP64439.1	4	396	1158	0.342	57.616	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000020_2,PB64-S175_21-22_K9-21_000060_2,PB64-S175_21-22_K9-21_000003_2,PB64-S175_21-22_K9-21_000185_1
PWA46823.1	1	124	308	0.403	41.1	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Artemisia__annua]	PB64-S175_21-22_K9-21_000246_5
AXU41444.1	1	86	463	0.186	95.3	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1
KYP46255.1	1	67	507	0.132	53.7	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Cajanus__cajan]	PB64-S175_21-22_K9-21_000186_2
RVX01348.1	1	100	630	0.159	59	Retrovirus-related__Pol__polyprotein__from__transposon__RE2__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000266_2
ASL72081.1	1	83	2342	0.035	96.4	polyprotein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000268_1
CBL43398.1	4	448	463	0.968	97.393	putative__movement__protein__[Cherry__virus__A]	PB64-S175_21-22_K9-21_000106_1,PB64-S175_21-22_K9-21_000053_1,PB64-S175_21-22_K9-21_000030_1,PB64-S175_21-22_K9-21_000008_1
RVW64893.1	1	110	917	0.12	58.2	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000093_2
RVW75032.1	1	36	1093	0.033	80.6	Retrovirus-related__Pol__polyprotein__from__transposon__TNT__1-94__[Vitis__vinifera]	PB64-S175_21-22_K9-21_000237_1
